index,name,isin,url
5,7IM AAP Balanced C Inc,GB00B2PB2V64,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BFB4/U/?specialunittype=ORDN&priipproductcode=
15,7IM Balanced C Inc,GB0033959296,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QI98/U/?specialunittype=ORDN&priipproductcode=
25,7IM Pathbuilder 3 C Inc,GB00BMDPC876,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/R2G1/U/?specialunittype=ORDN&priipproductcode=
35,abrdn American Equity I Acc,GB00B0XWN259,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KZ79/U/?specialunittype=ORDN&priipproductcode=
45,abrdn Emerging Markets Equity I Acc,GB0033227561,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ZY91/U/?specialunittype=ORDN&priipproductcode=
55,abrdn European Equity Tracker B Acc,GB00BGMK1394,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PZCV/U/?specialunittype=ORDN&priipproductcode=
65,abrdn Global Government Bond Tracker B Acc,GB00BK80KQ76,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/UW9O/U/?specialunittype=ORDN&priipproductcode=
75,abrdn High Yield Bond Institutional Acc GBP,GB0000936244,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ST01/U/?specialunittype=ORDN&priipproductcode=
85,abrdn MyFolio Core V Institutional Fixed Inc GBP,GB00BHZCRR59,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q4CJ/U/?specialunittype=ORDN&priipproductcode=
95,abrdn MyFolio Multi Manager II Inst Acc GBP,GB00B55L0T15,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KRI3/U/?specialunittype=ORDN&priipproductcode=
105,abrdn Short Dated Global Corporate Bond Tracker B Acc,GB00BG08N399,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PZV5/U/?specialunittype=ORDN&priipproductcode=
115,abrdn SICAV I - Emerging Markets Smaller Companies X Acc GBP,LU0837974368,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GWRS/O/?specialunittype=ORDN&priipproductcode=
125,abrdn SICAV II SICAV II - Macro Fixed Income B Acc GBP,LU1438963313,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/EA7W/O/?specialunittype=ORDN&priipproductcode=
135,abrdn Strategic Bond I Gr Acc,GB00BWK28168,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MOZI/U/?specialunittype=ORDN&priipproductcode=
145,abrdn UK Mid Cap Equity I Acc,GB00B0XWNT29,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GNOU/U/?specialunittype=ORDN&priipproductcode=
155,Aegon Absolute Return Bond C Acc GBP,IE00B6SLQ646,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0SVT/O/?specialunittype=ORDN&priipproductcode=
165,Aegon Global Equity Income B Acc GBP,IE00BF5SVX39,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JRQY/O/?specialunittype=ORDN&priipproductcode=
175,Aegon Investment Grade Bond S Acc GBP,GB00BF0W2M61,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/OBDV/U/?specialunittype=ORDN&priipproductcode=
185,Aegon Sustainable Equity B Acc GBP,GB0007274516,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SN49/U/?specialunittype=ORDN&priipproductcode=
195,Allianz Green Bond P2 (H2-GBP) NAV GBP,LU1566179385,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NSTD/O/?specialunittype=CHDG&priipproductcode=
205,Allspring (Lux) Worldwide - Global Income Z (hedged) Acc GBP,LU2905573486,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BLERE/O/?specialunittype=CHDG&priipproductcode=
215,ARC TIME Property Long Income & Growth Feeder Trust J Net Inc GBP,GB00BN7DJM78,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/WQPZ/U/?specialunittype=ORDN&priipproductcode=
225,Artemis High Income I Quarterly Acc,GB00BJMD6R83,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q2BO/U/?specialunittype=ORDN&priipproductcode=
