index,name,isin,url
19,7IM Moderately Cautious C Inc,GB0033953273,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/RK23/U/?specialunittype=ORDN&priipproductcode=
39,abrdn Asia Pacific Equity I Inc,GB00B88N7058,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GMDD/U/?specialunittype=ORDN&priipproductcode=
59,abrdn Global Balanced Growth Institutional Acc GBP,GB0004331673,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SL79/U/?specialunittype=ORDN&priipproductcode=
79,abrdn Japanese Equity I Acc,GB0004521737,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MJ50/U/?specialunittype=ORDN&priipproductcode=
99,abrdn Real Estate Feeder Inst Acc GBP,GB00BYPHPB97,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/K4LB/U/?specialunittype=ORDN&priipproductcode=
119,abrdn SICAV I - Global Sustainable Equity X AInc GBP,LU0837985059,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GWTF/O/?specialunittype=ORDN&priipproductcode=
139,abrdn UK Equity Enhanced Index B Acc,GB00BRJL8531,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KWXC/U/?specialunittype=ORDN&priipproductcode=
159,Aegon Ethical Cautious Managed B Acc,GB00B7V2CD05,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JCSH/U/?specialunittype=ORDN&priipproductcode=
179,Aegon Sterling Corporate Bond B Inc,,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BV69/U/?specialunittype=ORDN&priipproductcode=
199,Allianz Strategic Bond C,GB00B06T9362,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/TI16/U/?specialunittype=ORDN&priipproductcode=
219,Artemis Corporate Bond I Acc GBP,GB00BFZ91W59,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QL4K/U/?specialunittype=ORDN&priipproductcode=
239,Artemis SmartGARP Global Equity I Inc GBP,GB00BNDVGY66,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AHY42/U/?specialunittype=ORDN&priipproductcode=
259,Artemis US Smaller Companies I Acc GBP,GB00BMMV5766,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KRMD/U/?specialunittype=ORDN&priipproductcode=
279,Aviva Inv Global Equity Income 2 Inc,GB00B9LCNW07,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/J6ID/U/?specialunittype=ORDN&priipproductcode=
299,Aviva Inv UK Index Tracking 2 Inc,GB00B8XCGM21,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/I0XN/U/?specialunittype=ORDN&priipproductcode=
319,AXA Framlington Global Technology Z Acc,GB00B4W52V57,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/03TL/U/?specialunittype=ORDN&priipproductcode=
339,AXA Global Short Duration Bonds Z Acc,GB00BDFZQV30,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NX9P/U/?specialunittype=ORDN&priipproductcode=
359,AXA World Funds - Global Inflation Bonds F Hedged Cap GBP,LU1002649512,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/FL1Y/O/?specialunittype=CHDG&priipproductcode=
379,Baillie Gifford Global Income Growth B Acc,GB0005772479,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ILH7/U/?specialunittype=ORDN&priipproductcode=
399,Baillie Gifford Monthly Income B Acc,GB00BFXY2964,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/OXYV/U/?specialunittype=ORDN&priipproductcode=
419,Barclays Global Core R Acc GBP,GB00B51B9325,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/I1IH/U/?specialunittype=ORDN&priipproductcode=
439,Barclays Multi-Asset Growth R Inc,GB00BD93ZZ07,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/O9DC/U/?specialunittype=ORDN&priipproductcode=
459,Barings Emerging Markets Local Debt C Unhedged Inc GBP,IE00BG370S71,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/VNX3/O/?specialunittype=ORDN&priipproductcode=
479,BlackRock Asia D Acc,,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JCRW/U/?specialunittype=ORDN&priipproductcode=
499,BlackRock Corporate Bond D Inc,GB00B4T5JV79,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/00PC/U/?specialunittype=ORDN&priipproductcode=
519,BlackRock GF Latin American D2 Hedged GBP,LU0827884411,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/F2SI/O/?specialunittype=CHDG&priipproductcode=
539,BlackRock MyMap 5 D Inc GBP,GB00BFBFYR32,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QD4M/U/?specialunittype=ORDN&priipproductcode=
559,BlackRock UK Special Situations D Acc,GB00B3V1C060,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/IVZ0/U/?specialunittype=ORDN&priipproductcode=
579,BNY Mellon Asian Income Inst W Acc GBP,GB00B8KT3V48,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GP1G/U/?specialunittype=ORDN&priipproductcode=
599,BNY Mellon FutureLegacy 6 Institutional W Acc GBP,GB00BQH89127,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SFP0/U/?specialunittype=ORDN&priipproductcode=
619,BNY Mellon Global Income Inst W Acc GBP,GB00B7S9KM94,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GQ4S/U/?specialunittype=ORDN&priipproductcode=
