index,name,isin,url
11,7IM AAP Moderately Cautious C Inc,GB00B2PB2051,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BFB0/U/?specialunittype=ORDN&priipproductcode=
21,7IM Pathbuilder 1 C Inc,GB00BMDPC090,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/R2FT/U/?specialunittype=ORDN&priipproductcode=
31,Aberforth UK Small Companies Inc,GB00B2N9GS70,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AXW0/U/?specialunittype=ORDN&priipproductcode=
41,abrdn Diversified Growth and Income I Inc,GB00B1C42886,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GNOO/U/?specialunittype=ORDN&priipproductcode=
51,abrdn Europe ex UK Equity I Acc,GB00B0LG6P37,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/DZ96/U/?specialunittype=ORDN&priipproductcode=
61,abrdn Global Corporate Bond Screened Tracker B Acc,GB00BF473024,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/O1HY/U/?specialunittype=ORDN&priipproductcode=
71,abrdn Global REIT Tracker B Acc,GB00BK5HLG84,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QJRT/U/?specialunittype=ORDN&priipproductcode=
81,abrdn MyFolio Core I Institutional Fixed Inc GBP,GB00BHZCR644,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q4C3/U/?specialunittype=ORDN&priipproductcode=
91,abrdn MyFolio Index IV Inst B Acc GBP,GB00BHZCQY51,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q1V5/U/?specialunittype=ORDN&priipproductcode=
101,abrdn Real Estate Feeder Institutional S Acc GBP,GB00BZ008446,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NO0T/U/?specialunittype=ORDN&priipproductcode=
111,abrdn SICAV I - Asian Smaller Companies X Acc GBP,LU0837967669,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GWQT/O/?specialunittype=ORDN&priipproductcode=
121,abrdn SICAV I - Japanese Smaller Companies Sustainable Equity X Acc GBP,LU0837978781,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GWSI/O/?specialunittype=ORDN&priipproductcode=
131,abrdn Sterling Short Term Government Bond I Acc,GB00BWK25K43,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MDXL/U/?specialunittype=ORDN&priipproductcode=
141,abrdn UK Government Bond Institutional Inc GBP,GB0004333166,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SL88/U/?specialunittype=ORDN&priipproductcode=
151,abrdn World Equity Enhanced Index B Acc,GB00BRJL7Z68,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KWWZ/U/?specialunittype=ORDN&priipproductcode=
161,Aegon Ethical Corporate Bond B Inc,GB00B0C4RP31,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/US88/U/?specialunittype=ORDN&priipproductcode=
171,Aegon High Yield Bond S Inc GBP,GB00BF0W2L54,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/OBDU/U/?specialunittype=ORDN&priipproductcode=
181,Aegon Strategic Bond B Inc,GB00B00MY367,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ZO86/U/?specialunittype=ORDN&priipproductcode=
191,Allianz Emerging Markets Equity C Acc,GB00B0WDH832,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PZ39/U/?specialunittype=ORDN&priipproductcode=
201,Allianz UK Listed Equity Income C Acc,GB00BP5X3981,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/UIOM/U/?specialunittype=ORDN&priipproductcode=
211,ARC TIME Hybrid Property Feeder Trust I Net Acc GBP,GB00BN7DJL61,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/L96P/U/?specialunittype=ORDN&priipproductcode=
221,Artemis Global Income I Inc,GB00B5N99561,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JXZ0/U/?specialunittype=ORDN&priipproductcode=
231,Artemis SmartGARP European Equity I Acc,GB00B2PLJD73,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BUH3/U/?specialunittype=ORDN&priipproductcode=
241,Artemis SmartGARP UK Equity I Acc,GB00B2PLJM64,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KVH3/U/?specialunittype=ORDN&priipproductcode=
251,Artemis UK Special Situations I Acc,GB00B2PLJQ03,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BUH8/U/?specialunittype=ORDN&priipproductcode=
261,Atlantic House Defined Returns I Distribution 4%,IE00BF2ZW348,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NTV7/O/?specialunittype=ORDN&priipproductcode=
271,Aviva Inv AI Multi-asset Plus III 1,GB00B6X8K808,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0SSA/U/?specialunittype=ORDN&priipproductcode=
281,Aviva Inv Managed High Income 2,GB0004463039,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NA65/U/?specialunittype=ORDN&priipproductcode=
291,Aviva Inv Multimanager 20-60% Shares 2 Inc,GB00B7ZZR410,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/I0CQ/U/?specialunittype=ORDN&priipproductcode=
301,Aviva Inv UK Listed Equity Unconstrained 2 Acc,GB0004460357,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NA54/U/?specialunittype=ORDN&priipproductcode=
311,AXA Distribution Z Inc,GB0006160542,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AD95/U/?specialunittype=ORDN&priipproductcode=
321,AXA Framlington Global Thematics Z Inc,GB00BRJZVP64,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/M3CL/U/?specialunittype=ORDN&priipproductcode=
331,AXA Framlington UK Select Opportunities ZI Inc,GB00B703ZS07,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/11W0/U/?specialunittype=ORDN&priipproductcode=
341,AXA Global Strategic Bond Z Inc Quarterly GBP,GB00BMZCH363,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/WSH4/U/?specialunittype=ORDN&priipproductcode=
351,AXA Sterling Credit Short Duration Bond Z Gr Acc,GB00B5L2N222,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/M2V8/U/?specialunittype=ORDN&priipproductcode=
361,BA Beutel Goodman US Value Class SI Hedged Dis GBP,IE00BN940P89,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/U5EK/O/?specialunittype=CHDG&priipproductcode=
371,Baillie Gifford Emerging Markets Leading Companies B Dis GBP,GB00B06HZP43,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/B460/U/?specialunittype=ORDN&priipproductcode=
381,Baillie Gifford Global Income Growth B Inc,GB0005772586,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BG04/U/?specialunittype=ORDN&priipproductcode=
391,Baillie Gifford Japanese B Inc,GB0006010945,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BG42/U/?specialunittype=ORDN&priipproductcode=
401,Baillie Gifford Monthly Income J Inc,GB00BK6KVL14,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QY9Z/U/?specialunittype=ORDN&priipproductcode=
411,Baillie Gifford Strategic Bond B Inc,GB0005947741,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BG73/U/?specialunittype=ORDN&priipproductcode=
421,Barclays Global Markets Defensive R Acc GBP,GB00B55LZH47,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KLI7/U/?specialunittype=ORDN&priipproductcode=
431,Barclays Multi-Asset Cautious R Inc,GB00BD93ZB62,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/O9CS/U/?specialunittype=ORDN&priipproductcode=
441,Barclays UK Small and Mid Cap Class R Acc GBP,GB00BNDVX340,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/UO4H/U/?specialunittype=ORDN&priipproductcode=
451,Barings Emerging Market Debt Blended Total Return C Acc GBP,IE00BSL73W81,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NI9X/O/?specialunittype=CHDG&priipproductcode=
461,Barings German Growth Trust I Acc GBP,GB00B9M3QX41,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/J6JC/U/?specialunittype=ORDN&priipproductcode=
