index,name,isin,url
2,7IM AAP Adventurous C Acc,GB00B2PB2C75,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BFB9/U/?specialunittype=ORDN&priipproductcode=
7,7IM AAP Cautious C Inc,GB00BMXV7D57,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AHOMC/U/?specialunittype=ORDN&priipproductcode=
12,7IM Adventurous C Acc,GB0033958009,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QI86/U/?specialunittype=ORDN&priipproductcode=
17,7IM Moderately Adventurous C Inc,GB0033956391,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QI92/U/?specialunittype=ORDN&priipproductcode=
22,7IM Pathbuilder 2 C Acc,GB00BMDPC322,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/R2FW/U/?specialunittype=ORDN&priipproductcode=
27,7IM Real Return C Acc,GB00B75MS619,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0HF3/U/?specialunittype=ORDN&priipproductcode=
32,abrdn AAA Bond Institutional Acc GBP,GB0006573439,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SL78/U/?specialunittype=ORDN&priipproductcode=
37,abrdn Asia Pacific Equity Enhanced Index B Acc,GB00BRJL7V21,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KWWX/U/?specialunittype=ORDN&priipproductcode=
42,abrdn Dynamic Distribution Inst Acc GBP,GB00B0WS7N30,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QH63/U/?specialunittype=ORDN&priipproductcode=
47,abrdn Emerging Markets Equity Tracker B Acc,GB00BKBD2H80,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QG9H/U/?specialunittype=ORDN&priipproductcode=
52,abrdn Europe ex UK Ethical Equity Institutional Acc GBP,GB00B1ZB0P99,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AJM9/U/?specialunittype=ORDN&priipproductcode=
57,abrdn European Real Estate Share I Inc,GB00BWK26899,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MH9Z/U/?specialunittype=ORDN&priipproductcode=
62,abrdn Global Corporate Bond Screened Tracker B Inc,GB00BF473131,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/O1HZ/U/?specialunittype=ORDN&priipproductcode=
67,abrdn Global Inflation Linked Bond Institutional Inc GBP,GB00B00ZJX05,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ZI39/U/?specialunittype=ORDN&priipproductcode=
72,abrdn Global Smaller Companies Institutional Acc GBP,GB00B777SP34,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0OB6/U/?specialunittype=ORDN&priipproductcode=
77,abrdn Japan Equity Enhanced Index B,GB00BRJL8317,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KWXA/U/?specialunittype=ORDN&priipproductcode=
