index,name,isin,url,keyword,sheet
54,BlackFinch Spring VCT Ord,GB00BKV46W45,https://www.ajbell.co.uk/market-research/LSE:BFSP,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
59,BlackRock Income and Growth Ord,GB0030961691,https://www.ajbell.co.uk/market-research/LSE:BRIG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
64,British&American 2025 3.5%,-,https://www.ajbell.co.uk/market-research/LSE:BAFV,,Investment
69,Brunner Ord,GB0001490001,https://www.ajbell.co.uk/market-research/LSE:BUT,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
74,Capital Gearing Ord,GB0001738615,https://www.ajbell.co.uk/market-research/LSE:CGT,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
79,Chenavari Toro Income Fund Ord,GG00BWBSDM98,https://www.ajbell.co.uk/market-research/LSE:TORO,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA and SIPP",Investment
84,CQS New City High Yield Ord,JE00B1LZS514,https://www.ajbell.co.uk/market-research/LSE:NCYF,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
89,CT Private Equity Trust Ord,GB0030738271,https://www.ajbell.co.uk/market-research/LSE:CTPE,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
94,CVC Income & Growth EUR,JE00B9G79F59,https://www.ajbell.co.uk/market-research/LSE:CVCE,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",Investment
99,Diverse Income Trust Ord,GB00B65TLW28,https://www.ajbell.co.uk/market-research/LSE:DIVI,,Investment
104,Edinburgh Investment Ord,GB0003052338,https://www.ajbell.co.uk/market-research/LSE:EDIN,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
109,European Opportunities Trust,GB0000197722,https://www.ajbell.co.uk/market-research/LSE:EOT,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
114,Fidelity China Special Situations Ord,GB00B62Z3C74,https://www.ajbell.co.uk/market-research/LSE:FCSS,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
119,Foresight Enterprise VCT Ord,GB00B07YBS95,https://www.ajbell.co.uk/market-research/LSE:FTF,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
124,Foresight Ventures VCT plc,GB00BRBQ0C76,https://www.ajbell.co.uk/market-research/LSE:FVEN,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
129,Geiger Counter Ord,GB00B15FW330,https://www.ajbell.co.uk/market-research/LSE:GCL,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
134,Greencoat Renewables,IE00BF2NR112,https://www.ajbell.co.uk/market-research/LSE:GRP,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",Investment
139,Gresham House Renewable Energy VCT 1 Ord,GB00B4M2G812,https://www.ajbell.co.uk/market-research/LSE:GV1O,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, SIPP and Dividend reinvestment",Investment
144,Hansa Investment Company Ltd 'A' Class A,BMG428941089,https://www.ajbell.co.uk/market-research/LSE:HANA,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
149,Henderson High Income Ord,GB0009580571,https://www.ajbell.co.uk/market-research/LSE:HHI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
154,Home REIT Ord,GB00BJP5HK17,https://www.ajbell.co.uk/market-research/LSE:HOME,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
159,India Capital Growth Ord,GB00B0P8RJ60,https://www.ajbell.co.uk/market-research/LSE:IGC,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
164,Invesco Bond Income Plus Ord,JE00B6RMDP68,https://www.ajbell.co.uk/market-research/LSE:BIPS,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
169,JPMorgan Asia Growth & Income Ord,GB0001320778,https://www.ajbell.co.uk/market-research/LSE:JAGI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
174,JPMorgan Emerging Markets Growth & Inc,GB00BMXWN182,https://www.ajbell.co.uk/market-research/LSE:JMGI,,Investment
179,JPMorgan India Growth & Income plc,GB0003450359,https://www.ajbell.co.uk/market-research/LSE:JIGI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
184,KCR Residential REIT,GB00BYWK1Q82,https://www.ajbell.co.uk/market-research/LSE:KCR,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
189,Literacy Capital PLC,GB00BMF1L080,https://www.ajbell.co.uk/market-research/LSE:BOOK,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, SIPP and Dividend reinvestment",Investment
194,Macau Property Opportunities Ord,GG00BGDYFV61,https://www.ajbell.co.uk/market-research/LSE:MPO,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
199,Marwyn Value Investors Ord,KYG5897M1740,https://www.ajbell.co.uk/market-research/LSE:MVI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, SIPP and Dividend reinvestment",Investment
204,Maven Renovar VCT Ord,GB00B641BB82,https://www.ajbell.co.uk/market-research/LSE:MRV,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
209,Molten Ventures Ord,GB00BY7QYJ50,https://www.ajbell.co.uk/market-research/LSE:GROW,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
214,Murray Income Trust Ord,GB0006111123,https://www.ajbell.co.uk/market-research/LSE:MUT,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
219,Nippon Active Value Ord,GB00BKLGLS10,https://www.ajbell.co.uk/market-research/LSE:NAVF,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
224,Oakley Capital Investments Ord,BMG670131058,https://www.ajbell.co.uk/market-research/LSE:OCI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
229,Octopus Future Generations VCT Ord,GB00BNGFHX14,https://www.ajbell.co.uk/market-research/LSE:OFG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
234,Oryx International Growth Ord,GG00B3BTVQ94,https://www.ajbell.co.uk/market-research/LSE:OIG,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
239,Pacific Assets Ord,GB0006674385,https://www.ajbell.co.uk/market-research/LSE:PAC,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
244,Patria Private Equity Trust,GB0030474687,https://www.ajbell.co.uk/market-research/LSE:PPET,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
249,Phoenix Spree Deutschland Ord,JE00B248KJ21,https://www.ajbell.co.uk/market-research/LSE:PSDL,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
254,ProVen Growth and Income VCT Ord,GB00B5B7YS03,https://www.ajbell.co.uk/market-research/LSE:PGOO,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
259,Real Estate Credit Investments Ord,GB00B0HW5366,https://www.ajbell.co.uk/market-research/LSE:RECI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
264,River UK Micro Cap Ord,GG00BNDMJP11,https://www.ajbell.co.uk/market-research/LSE:RMMC,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
269,RTW Biotech Opportunities Ord,GG00BKTRRM22,https://www.ajbell.co.uk/market-research/LSE:RTW,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA and SIPP",Investment
274,Schroder British Opportunities Ord,GB00BN7JZR28,https://www.ajbell.co.uk/market-research/LSE:SBO,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
279,Schroder Oriental Income Ord,GB00B0CRWN59,https://www.ajbell.co.uk/market-research/LSE:SOI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
284,Scottish Mortgage Ord,GB00BLDYK618,https://www.ajbell.co.uk/market-research/LSE:SMT,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
