index,name,isin,url
21,7IM Pathbuilder 1 C Inc,GB00BMDPC090,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/R2FT/U/?specialunittype=ORDN&priipproductcode=
41,abrdn Diversified Growth and Income I Inc,,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GNOO/U/?specialunittype=ORDN&priipproductcode=
61,abrdn Global Corporate Bond Screened Tracker B Acc,GB00BF473024,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/O1HY/U/?specialunittype=ORDN&priipproductcode=
81,abrdn MyFolio Core I Institutional Fixed Inc GBP,GB00BHZCR644,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q4C3/U/?specialunittype=ORDN&priipproductcode=
101,abrdn Real Estate Feeder Institutional S Acc GBP,GB00BZ008446,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NO0T/U/?specialunittype=ORDN&priipproductcode=
121,abrdn SICAV I - Japanese Smaller Companies Sustainable Equity X Acc GBP,,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GWSI/O/?specialunittype=ORDN&priipproductcode=
141,abrdn UK Government Bond Institutional Acc GBP,GB0004333380,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SL45/U/?specialunittype=ORDN&priipproductcode=
161,Aegon Ethical Corporate Bond B Acc,GB00B018K352,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ZH97/U/?specialunittype=ORDN&priipproductcode=
181,Aegon Strategic Bond B Acc,GB00B3ZLQW29,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GMTO/U/?specialunittype=ORDN&priipproductcode=
201,Allianz Total Return Asian Equity C Acc,GB00BVYJ2G95,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MZ5I/U/?specialunittype=ORDN&priipproductcode=
221,Artemis Global Income I Acc,GB00B5ZX1M70,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JXZ1/U/?specialunittype=ORDN&priipproductcode=
241,Artemis SmartGARP Global Smaller Companies I Inc,GB00BJMD6S90,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q2BN/U/?specialunittype=ORDN&priipproductcode=
261,Atlantic House Defined Returns B,IE00BFLR2202,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/K9JX/O/?specialunittype=ORDN&priipproductcode=
281,Aviva Inv International Index Tracking 2 Acc,GB00B2NRNX53,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/B4H5/U/?specialunittype=ORDN&priipproductcode=
301,Aviva Inv UK Listed Equity Income 2 Acc,GB00B6R51K64,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/05NY/U/?specialunittype=ORDN&priipproductcode=
321,AXA Framlington Global Thematics Z Acc,GB00B7MMKJ14,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/11VH/U/?specialunittype=ORDN&priipproductcode=
341,AXA Global Strategic Bond Z Acc Quarterly GBP,GB00BMZCH470,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/UUM1/U/?specialunittype=ORDN&priipproductcode=
361,AXA World Funds - UK Equity F Cap GBP,LU1319653462,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/E7IU/O/?specialunittype=ORDN&priipproductcode=
381,Baillie Gifford Global Income Growth J Acc,GB00BK6KTH30,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QY9S/U/?specialunittype=ORDN&priipproductcode=
401,Baillie Gifford Monthly Income J Acc,GB00BK6KVK07,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QY9Y/U/?specialunittype=ORDN&priipproductcode=
421,Barclays Global Markets Adventurous R Acc GBP,GB00B4YPY060,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KLL2/U/?specialunittype=ORDN&priipproductcode=
441,Barclays Sterling Corporate Bond R Dis GBP,GB00B6SPRV88,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/I1IK/U/?specialunittype=ORDN&priipproductcode=
461,Barings Emerging Markets Sovereign Debt C Inc GBP,IE00BYXX2K70,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/R3EZ/O/?specialunittype=ORDN&priipproductcode=
481,BlackRock Balanced Growth Portfolio D Inc,GB00B7FKHX53,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GU0B/U/?specialunittype=ORDN&priipproductcode=
501,BlackRock Developed Markets Equity D Inc,GB00B8DDP952,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GU0J/U/?specialunittype=ORDN&priipproductcode=
521,BlackRock GF US Basic Value D2 GBP,LU0827886200,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/F33X/O/?specialunittype=ORDN&priipproductcode=
541,BlackRock MyMap 6 D Acc,GB00BFBFZ140,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QCQM/U/?specialunittype=ORDN&priipproductcode=
561,BlackRock US Dynamic D Acc,GB00B87XJQ69,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GTZX/U/?specialunittype=ORDN&priipproductcode=
581,BNY Mellon Asian Opportunities Inst W Acc GBP,GB00B8GJF672,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GQ4M/U/?specialunittype=ORDN&priipproductcode=
601,BNY Mellon FutureLegacy 7 Institutional W Acc GBP,GB00BQH89903,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/CNWM/U/?specialunittype=ORDN&priipproductcode=
621,BNY Mellon Global Infrastructure Income Inst W Acc,GB00BDR8GH68,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PDHO/U/?specialunittype=ORDN&priipproductcode=
641,BNY Mellon Multi-Asset Diversified Return Inst W Acc,GB00B81C8395,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GPQQ/U/?specialunittype=ORDN&priipproductcode=
661,BNY Mellon UK Income Inst W Inc,GB00B7W2G379,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GQ4N/U/?specialunittype=ORDN&priipproductcode=
681,Capital Group Emerging Markets Total Opportunities (LUX) Z GBP,LU0815117998,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/I1PV/O/?specialunittype=ORDN&priipproductcode=
701,Capital Group New Perspective Fund (LUX) Z GBP,LU1295554916,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/E07B/O/?specialunittype=ORDN&priipproductcode=
721,CG Absolute Return Class Unhedged Share GBP,IE00BYQ69B30,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NYKT/O/?specialunittype=ORDN&priipproductcode=
741,Comgest Growth Japan U Acc GBP,IE00BYYLQ199,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PJZ2/O/?specialunittype=ORDN&priipproductcode=
761,CT American ZNA GBP,GB00B7T2FK07,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/G7CD/U/?specialunittype=ORDN&priipproductcode=
781,CT Global Equity Income ZNA GBP,GB00B99MQF62,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/J6HI/U/?specialunittype=ORDN&priipproductcode=
801,CT Managed Equity & Bond Inst Acc GBP,GB00BMGRVX88,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/UOJB/U/?specialunittype=ORDN&priipproductcode=
821,CT Multi-Manager Universal Defensive B Acc,GB00BG5GMB95,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JW3A/U/?specialunittype=ORDN&priipproductcode=
841,CT Select UK Equity Income 2 Acc,GB00B7TFC979,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GRHA/U/?specialunittype=ORDN&priipproductcode=
861,CT UK Growth and Income ZNI GBP,GB00B8848T44,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/G7DB/U/?specialunittype=ORDN&priipproductcode=
881,CT US Equity Income ZNI GBP,GB00BZ563P30,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MZRQ/U/?specialunittype=ORDN&priipproductcode=
901,EdenTree Sustainable UK Equity B Dis GBP,GB0009371757,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JG02/U/?specialunittype=ORDN&priipproductcode=
921,Evelyn Defensive Portfolio Institutional Dist GBP,,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QGRD/DC/?specialunittype=ORDN&priipproductcode=
941,Federated Hermes Unconstrained Credit F Hedged Dis GBP,IE00BFB40P04,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/OEMP/O/?specialunittype=CHDG&priipproductcode=
961,Fidelity China Consumer A GBP,LU0594300336,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/N1A3/DC/?specialunittype=ORDN&priipproductcode=
981,Fidelity Global Demographics Fund Y Acc GBP,,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0VV7/DC/?specialunittype=ORDN&priipproductcode=
1001,Fidelity Global Thematic Opportunities W Acc GBP,LU1033663995,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/K5LR/O/?specialunittype=ORDN&priipproductcode=
1021,Fidelity Index World P Inc,GB00BP8RYB62,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KOGT/U/?specialunittype=ORDN&priipproductcode=
1041,Fidelity Multi Asset Open Adventurous W Acc,GB00BC7GXM70,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JJFV/U/?specialunittype=ORDN&priipproductcode=
