index,name,isin,url
2,7IM AAP Adventurous C Acc,GB00B2PB2C75,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BFB9/U/?specialunittype=ORDN&priipproductcode=
12,7IM Adventurous C Acc,GB0033958009,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QI86/U/?specialunittype=ORDN&priipproductcode=
22,7IM Pathbuilder 2 C Acc,GB00BMDPC322,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/R2FW/U/?specialunittype=ORDN&priipproductcode=
32,abrdn AAA Bond Institutional Acc GBP,GB0006573439,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SL78/U/?specialunittype=ORDN&priipproductcode=
42,abrdn Dynamic Distribution Inst Acc GBP,GB00B0WS7N30,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QH63/U/?specialunittype=ORDN&priipproductcode=
52,abrdn Europe ex UK Ethical Equity Institutional Acc GBP,GB00B1ZB0P99,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AJM9/U/?specialunittype=ORDN&priipproductcode=
62,abrdn Global Corporate Bond Screened Tracker B Inc,GB00BF473131,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/O1HZ/U/?specialunittype=ORDN&priipproductcode=
72,abrdn Global Smaller Companies Institutional Acc GBP,GB00B777SP34,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0OB6/U/?specialunittype=ORDN&priipproductcode=
82,abrdn MyFolio Core II Institutional Fixed Inc GBP,GB00BHZCRC07,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q4C7/U/?specialunittype=ORDN&priipproductcode=
92,abrdn MyFolio Index V Inst B Acc GBP,GB00BHZCR206,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q1V9/U/?specialunittype=ORDN&priipproductcode=
102,abrdn Real Estate Feeder Retail Inc GBP,GB00BP7LJN64,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/TD8Q/U/?specialunittype=ORDN&priipproductcode=
112,abrdn SICAV I - Emerging Markets Bond X Acc GBP,LU1227631378,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/FUKW/O/?specialunittype=ORDN&priipproductcode=
122,abrdn SICAV I - Japanese Sustainable Equity X Acc GBP,LU0837977890,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GWSF/O/?specialunittype=ORDN&priipproductcode=
132,abrdn Sterling Short Term Government Bond I Inc,GB00BWK25L59,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MDXM/U/?specialunittype=ORDN&priipproductcode=
142,abrdn UK Income Equity I Acc,GB00B0XWN929,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KZ85/U/?specialunittype=ORDN&priipproductcode=
152,Aegon Absolute Return Bond B Acc GBP,IE00B6SPX874,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0DSD/O/?specialunittype=ORDN&priipproductcode=
162,Aegon Ethical Equity B Acc,GB0007450884,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SN54/U/?specialunittype=ORDN&priipproductcode=
172,Aegon Investment Grade Bond B Acc,GB00B141C763,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ER36/U/?specialunittype=ORDN&priipproductcode=
182,Aegon Strategic Bond S Acc,GB00BFY6P813,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/OZE0/U/?specialunittype=ORDN&priipproductcode=
192,Allianz Europe Equity Growth P NAV GBP,LU0604763499,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0OB0/O/?specialunittype=ORDN&priipproductcode=
202,Allianz UK Listed Equity Income C Inc,GB00B82ZGC20,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KA6E/U/?specialunittype=ORDN&priipproductcode=
212,ARC TIME Hybrid Property Feeder Trust J Net Inc GBP,GB00BN7DJM78,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/WQPZ/U/?specialunittype=ORDN&priipproductcode=
222,Artemis High Income I Inc,GB00B2PLJN71,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BUH5/U/?specialunittype=ORDN&priipproductcode=
232,Artemis SmartGARP European Equity I Inc GBP,GB00BR4TTQ03,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BLDSO/U/?specialunittype=ORDN&priipproductcode=
242,Artemis Strategic Assets I Acc,GB00B3VDD431,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/F5A7/U/?specialunittype=ORDN&priipproductcode=
252,Artemis UK Special Situations I Inc,GB00BB36JR17,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JEDA/U/?specialunittype=ORDN&priipproductcode=
