index,name,isin,url
12,7IM Adventurous C Acc,GB0033958009,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QI86/U/?specialunittype=ORDN&priipproductcode=
32,abrdn AAA Bond Institutional Acc GBP,GB0006573439,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SL78/U/?specialunittype=ORDN&priipproductcode=
52,abrdn Europe ex UK Ethical Equity Institutional Acc GBP,GB00B1ZB0P99,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AJM9/U/?specialunittype=ORDN&priipproductcode=
72,abrdn Global Smaller Companies Institutional Acc GBP,GB00B777SP34,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0OB6/U/?specialunittype=ORDN&priipproductcode=
92,abrdn MyFolio Index V Inst B Acc GBP,GB00BHZCR206,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/Q1V9/U/?specialunittype=ORDN&priipproductcode=
112,abrdn SICAV I - Emerging Markets Bond X Acc GBP,LU1227631378,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/FUKW/O/?specialunittype=ORDN&priipproductcode=
132,abrdn Sterling Short Term Government Bond I Acc,GB00BWK25K43,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MDXL/U/?specialunittype=ORDN&priipproductcode=
152,abrdn World Equity Enhanced Index B Acc,GB00BRJL7Z68,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KWWZ/U/?specialunittype=ORDN&priipproductcode=
172,Aegon High Yield Bond S Inc GBP,GB00BF0W2L54,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/OBDU/U/?specialunittype=ORDN&priipproductcode=
192,Allianz Emerging Markets Equity C Acc,GB00B0WDH832,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PZ39/U/?specialunittype=ORDN&priipproductcode=
