index,name,isin,url
6,7IM AAP Cautious C Acc,GB00BMXV8544,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AHOMB/U/?specialunittype=ORDN&priipproductcode=
16,7IM Moderately Adventurous C Acc,GB0033956516,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/QI91/U/?specialunittype=ORDN&priipproductcode=
26,7IM Pathbuilder 4 C Acc,GB00BMDPCC16,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/R2G4/U/?specialunittype=ORDN&priipproductcode=
36,abrdn American Equity Tracker B Acc,GB00BGMK1170,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PZCR/U/?specialunittype=ORDN&priipproductcode=
46,abrdn Emerging Markets Equity I Inc,GB00BH0VV536,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/JXPB/U/?specialunittype=ORDN&priipproductcode=
56,abrdn European Real Estate Share I Acc,GB00BWK26907,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MHAA/U/?specialunittype=ORDN&priipproductcode=
66,abrdn Global Inflation Linked Bond Institutional Acc GBP,GB00B00ZJP21,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ZI95/U/?specialunittype=ORDN&priipproductcode=
76,abrdn High Yield Bond Institutional Inc GBP,GB0000939818,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ST23/U/?specialunittype=ORDN&priipproductcode=
86,abrdn MyFolio Enhanced ESG V Institutional B Fixed Acc GBP,GB00BN4R6657,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/A1IM/U/?specialunittype=ORDN&priipproductcode=
96,abrdn MyFolio Multi Manager III Inst Acc GBP,GB00B54Z1X52,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/KRI5/U/?specialunittype=ORDN&priipproductcode=
106,abrdn Short Dated Global Inflation-Linked Bond Tracker B Acc,GB00BGMK1733,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/PZCZ/U/?specialunittype=ORDN&priipproductcode=
116,abrdn SICAV I - Euro High Yield Bond X MInc GBP,LU0837981900,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GWSU/O/?specialunittype=ORDN&priipproductcode=
126,abrdn Sterling Corporate Bond Institutional Inc GBP,GB00BYMMK898,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/MS7N/U/?specialunittype=ORDN&priipproductcode=
136,abrdn UK All Share Tracker B Acc,GB00B76B9Y24,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/0MEW/U/?specialunittype=ORDN&priipproductcode=
146,abrdn UK Real Estate Share I Acc,GB00B0XWNN66,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GMDE/U/?specialunittype=ORDN&priipproductcode=
156,Aegon Diversified Monthly Income B Acc,GB00BJFLQY60,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/K2WZ/U/?specialunittype=ORDN&priipproductcode=
166,Aegon Global Short Dated High Yield Bond C Hedged Acc GBP,IE00BDCVTN70,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NV7A/O/?specialunittype=ORDN&priipproductcode=
176,Aegon Investment Grade Global Bond B Hedged Acc GBP,,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/EAL9/DC/?specialunittype=CHDG&priipproductcode=
186,Aegon UK Equity B Acc GBP,GB0007451411,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/SN60/U/?specialunittype=ORDN&priipproductcode=
196,Allianz RiskMaster Growth Multi Asset Y Acc,GB00BYMVBC71,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/C3XH/U/?specialunittype=ORDN&priipproductcode=
206,Alquity Future World Y GBP,LU1070052854,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/NCRS/O/?specialunittype=ORDN&priipproductcode=
216,ARC TIME UK Infrastructure Income II C Inc,GB00BP50HT79,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/TDYT/U/?specialunittype=ORDN&priipproductcode=
226,Artemis Income I Inc,GB00B2PLJJ36,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/BUH6/U/?specialunittype=ORDN&priipproductcode=
236,Artemis SmartGARP Global Emerging Markets Equity I Inc GBP,GB00BW9HL249,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/M8MC/U/?specialunittype=ORDN&priipproductcode=
246,Artemis Strategic Bond I Quarterly Inc,GB00BJT0KT28,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/K7PO/U/?specialunittype=ORDN&priipproductcode=
256,Artemis US Select I Hedged Acc GBP,,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/N2XD/U/?specialunittype=CHDG&priipproductcode=
266,Atlas Global Infrastructure C Hedged Acc GBP,IE000RE463N8,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/ASVWK/O/?specialunittype=CHDG&priipproductcode=
276,Aviva Inv Global Equity Endurance 2,GB00BYXHPJ99,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/O84V/U/?specialunittype=ORDN&priipproductcode=
286,Aviva Inv Multi-asset Core IV 2,GB00BMGWH791,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/DN7Z/U/?specialunittype=ORDN&priipproductcode=
296,Aviva Inv Sterling Corporate Bond 2 Inc GBP,GB00B7RBPR66,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/GVUZ/U/?specialunittype=ORDN&priipproductcode=
306,AXA Carbon Transition Sterling Buy And Maintain Credit Fund Z Gross,GB00B7VXY261,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/I25P/U/?specialunittype=ORDN&priipproductcode=
316,AXA Framlington Biotech Z Acc GBP,GB00B784NS11,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/11VD/U/?specialunittype=ORDN&priipproductcode=
326,AXA Framlington UK Equity Income Z Acc,GB00B7KBNV36,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/11VG/U/?specialunittype=ORDN&priipproductcode=
336,AXA Global High Yield Z Gr Acc,GB00B29NGF01,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/AZV9/U/?specialunittype=ORDN&priipproductcode=
346,AXA Managed Income Z Gross Inc,GB00B71DB365,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/11VQ/U/?specialunittype=ORDN&priipproductcode=
356,AXA US Short Duration High Yield Bond Z Gr Inc,GB00B5TX5Q59,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/IZO2/U/?specialunittype=ORDN&priipproductcode=
366,Baillie Gifford Developed Asia Pacific B Acc,GB0030492044,https://investorhub.financialexpress.net/Pdf/fdd/en-gb/fdd/B037/U/?specialunittype=ORDN&priipproductcode=
